"No.","Time","Source","Destination","Protocol","Length","Info","packet number"
"1","0.000000","192.168.56.1","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 ","1"
"2","1.017247","192.168.56.1","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 ","2"
"3","2.018164","192.168.56.1","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 ","3"
"4","3.031323","192.168.56.1","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 ","4"
"5","116.468766","192.168.56.1","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 ","5"
"6","117.471214","192.168.56.1","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 ","6"
"7","118.477080","192.168.56.1","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 ","7"
"8","119.479833","192.168.56.1","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 ","8"
"9","236.745684","192.168.56.1","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 ","9"
"10","237.746514","192.168.56.1","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 ","10"
"11","238.746763","192.168.56.1","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 ","11"
"12","239.746867","192.168.56.1","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 ","12"
"13","350.594395","192.168.56.1","224.0.0.251","MDNS","82","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question","13"
"14","351.603935","192.168.56.1","224.0.0.251","MDNS","82","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question","14"
"15","353.605616","192.168.56.1","224.0.0.251","MDNS","82","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question","15"
"16","356.472230","192.168.56.1","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 ","16"
"17","357.473815","192.168.56.1","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 ","17"
"18","358.474738","192.168.56.1","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 ","18"
"19","359.480785","192.168.56.1","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 ","19"
"20","448.331901","192.168.56.1","239.255.255.250","SSDP","179","M-SEARCH * HTTP/1.1 ","20"
"21","451.340984","192.168.56.1","239.255.255.250","SSDP","179","M-SEARCH * HTTP/1.1 ","21"
"22","454.366090","192.168.56.1","239.255.255.250","SSDP","179","M-SEARCH * HTTP/1.1 ","22"
"23","476.491912","192.168.56.1","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 ","23"
"24","477.492902","192.168.56.1","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 ","24"
"25","478.505076","192.168.56.1","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 ","25"
"26","479.505647","192.168.56.1","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 ","26"
"27","531.692279","192.168.56.1","192.168.56.255","BROWSER","243","Host Announcement DESKTOP-9IH9JBS, Workstation, Server, NT Workstation","27"
"28","596.481426","192.168.56.1","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 ","28"
"29","597.486124","192.168.56.1","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 ","29"
"30","598.499136","192.168.56.1","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 ","30"
"31","599.510132","192.168.56.1","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 ","31"
"32","702.590652","192.168.56.1","224.0.0.22","IGMPv3","54","Membership Report / Leave group 224.0.0.252","32"
"33","702.596948","192.168.56.1","224.0.0.22","IGMPv3","54","Membership Report / Join group 224.0.0.252 for any sources","33"
"34","702.686535","192.168.56.1","224.0.0.251","MDNS","81","Standard query 0x0000 ANY DESKTOP-9IH9JBS.local, ""QM"" question","34"
"35","702.688669","192.168.56.1","224.0.0.251","MDNS","91","Standard query response 0x0000 A 192.168.56.1","35"
"36","702.697028","192.168.56.1","224.0.0.251","MDNS","81","Standard query 0x0000 ANY DESKTOP-9IH9JBS.local, ""QM"" question","36"
"37","702.698082","192.168.56.1","224.0.0.251","MDNS","91","Standard query response 0x0000 A 192.168.56.1","37"
"38","702.699032","192.168.56.1","224.0.0.252","LLMNR","75","Standard query 0xdc05 ANY DESKTOP-9IH9JBS","38"
"39","702.854228","192.168.56.1","224.0.0.22","IGMPv3","54","Membership Report / Join group 224.0.0.252 for any sources","39"
"40","716.486825","192.168.56.1","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 ","40"
"41","717.492828","192.168.56.1","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 ","41"
"42","718.504900","192.168.56.1","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 ","42"
"43","719.514408","192.168.56.1","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 ","43"
